tempo_ms,cwnd,rwnd,janela_efetiva
3.0,1024,65535,1024
3.4,2048,65535,2048
3.8,2560,65535,2560
3.8,2970,65535,2969
4.1,3323,65535,3322
4.3,3638,65535,3638
504.1,1024,63488,1024
504.4,2048,65535,2048
1004.3,1024,65535,1024
1004.8,2048,65535,2048
1005.1,2560,65535,2560
1005.3,2970,65535,2969
1005.6,3323,65535,3322
1005.7,3638,65535,3638
1005.9,3926,65535,3926
1006.1,4194,65535,4193
1006.4,4444,65535,4443
1006.5,4680,65535,4679
1006.7,4904,65535,4903
1006.8,5117,65535,5117
1006.9,5322,65535,5322
1007.0,5519,65535,5519
1007.1,5709,65535,5709
1007.2,5893,65535,5893
1007.2,6071,65535,6070
1007.3,6244,65535,6243
1007.5,6412,65535,6411
1007.6,6575,65535,6575
1007.6,6735,65535,6734
1007.7,6890,65535,6890
1007.7,7043,65535,7042
1007.9,7191,65535,7191
1008.1,6667,62464,6667
1008.2,7691,61440,7691
1008.2,8715,60416,8715
1008.4,9739,59392,9739
1008.5,3595,65535,3595
1008.6,3887,65535,3886
1008.7,4156,65535,4156
1008.8,4409,65535,4408
1009.0,4647,65535,4646
1009.2,4872,65535,4872
1009.5,5087,65535,5087
1009.8,5294,65535,5293
1010.0,5492,65535,5491
1010.0,5683,65535,5682
1010.1,5867,65535,5867
1010.2,6046,65535,6045
1010.3,6219,65535,6219
