tempo_ms,cwnd,rwnd,janela_efetiva
0.7,1024,65535,1024
0.7,1024,65535,1024
0.8,2048,65535,2048
0.9,2048,65535,2048
0.9,2048,65535,2048
1.0,2560,65535,2560
1.1,2560,65535,2560
1.1,2560,65535,2560
500.8,1024,65535,1024
500.9,1024,65535,1024
501.1,2048,65535,2048
501.1,2048,65535,2048
501.1,2048,65535,2048
501.2,2560,65535,2560
501.3,2560,65535,2560
501.4,2560,65535,2560
501.4,2970,65535,2969
501.5,2970,65535,2969
501.6,3323,65535,3322
501.7,3323,65535,3322
501.9,3323,65535,3322
502.0,3323,65535,3322
502.0,3638,65535,3638
502.0,3638,65535,3638
502.1,3926,65535,3926
502.1,3926,65535,3926
502.2,4194,65535,4193
502.3,4194,65535,4193
502.3,4194,65535,4193
1001.9,1024,63488,1024
1002.0,1024,63488,1024
1002.1,2048,65535,2048
1002.2,2048,65535,2048
1002.2,2048,65535,2048
1502.0,1024,65535,1024
1502.1,1024,65535,1024
1502.3,2048,65535,2048
1502.4,2048,65535,2048
1502.5,2048,65535,2048
1502.5,2560,65535,2560
1502.5,2560,65535,2560
1502.6,2560,65535,2560
2002.4,1024,64512,1024
2002.5,1024,64512,1024
2502.2,1024,64512,1024
2502.3,1024,64512,1024
3002.0,1024,64512,1024
3002.2,1024,64512,1024
3002.4,2048,65535,2048
3002.5,2048,65535,2048
3002.5,2048,65535,2048
3002.7,2560,65535,2560
3002.7,2560,65535,2560
3002.8,2560,65535,2560
3002.9,2970,65535,2969
3003.0,2970,65535,2969
3003.0,3323,65535,3322
3003.0,3323,65535,3322
3003.0,3323,65535,3322
3003.0,3638,65535,3638
3003.0,3638,65535,3638
3502.8,1024,63488,1024
3502.9,1024,63488,1024
4002.7,1024,63488,1024
4002.8,1024,63488,1024
4502.4,1024,63488,1024
4502.6,1024,63488,1024
4502.8,2048,65535,2048
4502.8,2048,65535,2048
4502.8,2048,65535,2048
5003.0,1024,65535,1024
5003.1,1024,65535,1024
5003.4,2048,65535,2048
5004.5,2048,65535,2048
5004.6,2048,65535,2048
5503.5,1024,64512,1024
5503.6,1024,64512,1024
5503.8,2048,65535,2048
5503.9,2048,65535,2048
5504.0,2048,65535,2048
6003.6,1024,65535,1024
6003.7,1024,65535,1024
6503.3,1024,65535,1024
6503.4,1024,65535,1024
6503.6,2048,65535,2048
6503.7,2048,65535,2048
6503.7,2048,65535,2048
6503.8,2560,65535,2560
6503.8,2560,65535,2560
6503.8,2970,65535,2969
6503.9,2970,65535,2969
7003.5,1024,65535,1024
7003.5,1024,65535,1024
7503.2,1024,65535,1024
7503.3,1024,65535,1024
7503.5,2048,65535,2048
7503.5,2048,65535,2048
7503.7,2048,65535,2048
7503.7,2560,65535,2560
7503.9,2560,65535,2560
7503.9,2970,65535,2969
7504.0,2970,65535,2969
7504.0,3323,65535,3322
7504.1,3323,65535,3322
7504.2,3323,65535,3322
7504.2,3638,65535,3638
7504.3,3638,65535,3638
7504.3,3926,65535,3926
7504.4,3926,65535,3926
7504.4,4194,65535,4193
7504.5,4194,65535,4193
7504.5,4194,65535,4193
7504.6,4194,65535,4193
7504.6,4444,65535,4443
7504.8,4444,65535,4443
7504.8,4680,65535,4679
7504.8,4680,65535,4679
7504.9,5411,62464,5411
7505.0,5411,62464,5411
7505.0,2339,65535,2339
7505.1,2339,65535,2339
7505.1,2787,65535,2787
7505.1,2787,65535,2787
7505.2,3163,65535,3163
7505.2,3495,65535,3494
