tempo_ms,cwnd,rwnd,janela_efetiva
0.7,1024,65535,1024
0.8,1024,65535,1024
500.5,1024,65535,1024
500.7,1024,65535,1024
500.9,2048,65535,2048
501.0,2048,65535,2048
501.0,2048,65535,2048
501.1,2560,65535,2560
501.1,2560,65535,2560
501.2,2970,65535,2969
501.2,2970,65535,2969
501.3,3323,65535,3322
501.4,3323,65535,3322
501.4,3323,65535,3322
501.5,3638,65535,3638
501.6,3638,65535,3638
501.6,3926,65535,3926
501.7,3926,65535,3926
501.7,4194,65535,4193
501.8,4194,65535,4193
501.9,4194,65535,4193
501.9,4444,65535,4443
502.1,4444,65535,4443
502.1,4680,65535,4679
502.2,4680,65535,4679
502.3,4904,65535,4903
502.4,4904,65535,4903
502.4,5117,65535,5117
502.5,5117,65535,5117
502.5,5322,65535,5322
502.6,5322,65535,5322
502.7,5322,65535,5322
502.7,5519,65535,5519
502.8,5519,65535,5519
502.8,5709,65535,5709
502.9,5709,65535,5709
502.9,5893,65535,5893
503.0,5893,65535,5893
503.0,6071,65535,6070
503.1,6071,65535,6070
503.1,6244,65535,6243
503.2,6244,65535,6243
503.3,6244,65535,6243
503.3,6412,65535,6411
503.5,6412,65535,6411
503.5,6277,62464,6277
503.6,7301,61440,7301
503.7,7301,61440,7301
503.7,3205,62464,3205
1003.4,1024,61440,1024
1003.5,1024,61440,1024
1003.7,2048,65535,2048
1003.8,2048,65535,2048
1003.8,2048,65535,2048
1503.7,1024,65535,1024
1503.9,1024,65535,1024
1504.1,2048,65535,2048
1504.2,2048,65535,2048
1504.3,2048,65535,2048
1504.3,2560,65535,2560
1504.4,2560,65535,2560
1504.4,2970,65535,2969
1504.4,2970,65535,2969
1504.5,3323,65535,3322
1504.6,3323,65535,3322
1504.6,3323,65535,3322
1504.6,3638,65535,3638
1504.6,3638,65535,3638
1504.6,3926,65535,3926
1504.6,3926,65535,3926
1504.7,4194,65535,4193
1504.7,4194,65535,4193
1504.7,4194,65535,4193
1505.6,4444,65535,4443
1505.7,4444,65535,4443
1506.4,5293,62464,5293
1506.5,5293,62464,5293
1506.6,2221,65535,2221
1506.7,2221,65535,2221
1506.7,2693,65535,2693
1506.8,2693,65535,2693
1506.8,3082,65535,3082
1506.9,3082,65535,3082
1506.9,3082,65535,3082
1507.0,3423,65535,3422
1507.0,3423,65535,3422
1507.1,3729,65535,3729
1507.2,3729,65535,3729
1507.2,4010,65535,4010
1507.3,4010,65535,4010
1507.3,4272,65535,4271
1507.4,4272,65535,4271
1507.4,4272,65535,4271
1507.5,4517,65535,4517
1507.5,4517,65535,4517
1507.6,4749,65535,4749
1507.7,4749,65535,4749
1507.7,4970,65535,4970
1507.8,4970,65535,4970
1507.8,5557,62464,5557
1508.1,2485,65535,2485
